NPD_ID,Noise Metric,Op Mode,Power Setting,Engine Type,Wight class,Number Of Engines,Landing Distance,MTOW(Ibs),L_10000ft
O320D3,LAmax,A,1500,Piston,Small,1,1695,2325,26.7
O320D3,LAmax,A,1600,Piston,Small,1,1695,2325,27.7
O320D3,PNLTM,A,1500,Piston,Small,1,1695,2325,29.4
O320D3,PNLTM,A,1600,Piston,Small,1,1695,2325,29.5
O320D3,LAmax,A,1800,Piston,Small,1,1695,2325,30
O320D3,PNLTM,A,1800,Piston,Small,1,1695,2325,35
O320D3,EPNL,A,1500,Piston,Small,1,1695,2325,35.2
O320D3,LAmax,D,2150,Piston,Small,1,1695,2325,36.1
O320D3,EPNL,A,1600,Piston,Small,1,1695,2325,36.4
O320D3,EPNL,A,1800,Piston,Small,1,1695,2325,40.7
O320D3,LAmax,D,2442,Piston,Small,1,1695,2325,43.1
O320D3,LAmax,D,2600,Piston,Small,1,1695,2325,43.8
O320D3,SEL,A,1500,Piston,Small,1,1695,2325,44.5
O320D3,SEL,A,1600,Piston,Small,1,1695,2325,45.9
O320D3,PNLTM,D,2150,Piston,Small,1,1695,2325,45.9
O320D3,SEL,A,1800,Piston,Small,1,1695,2325,47.8
O320D3,EPNL,D,2150,Piston,Small,1,1695,2325,50.9
O320D3,SEL,D,2150,Piston,Small,1,1695,2325,52.7
O320D3,PNLTM,D,2442,Piston,Small,1,1695,2325,54.1
O320D3,PNLTM,D,2600,Piston,Small,1,1695,2325,54.4
O320D3,SEL,D,2442,Piston,Small,1,1695,2325,59.5
O320D3,EPNL,D,2442,Piston,Small,1,1695,2325,59.9
O320D3,SEL,D,2600,Piston,Small,1,1695,2325,60.2
O320D3,EPNL,D,2600,Piston,Small,1,1695,2325,60.4
IO360L,LAmax,A,27,Piston,Small,1,1695,2450,28.5
IO360L,PNLTM,A,27,Piston,Small,1,1695,2450,32.1
IO360L,LAmax,A,58,Piston,Small,1,1695,2450,34.1
IO360L,EPNL,A,27,Piston,Small,1,1695,2450,37.9
IO360L,LAmax,D,60,Piston,Small,1,1695,2450,38.6
IO360L,LAmax,D,100,Piston,Small,1,1695,2450,39.9
IO360L,PNLTM,A,58,Piston,Small,1,1695,2450,40.8
IO360L,SEL,A,27,Piston,Small,1,1695,2450,46.2
IO360L,EPNL,A,58,Piston,Small,1,1695,2450,46.5
IO360L,PNLTM,D,60,Piston,Small,1,1695,2450,48.2
IO360L,PNLTM,D,100,Piston,Small,1,1695,2450,49.4
IO360L,SEL,A,58,Piston,Small,1,1695,2450,51.1
IO360L,EPNL,D,60,Piston,Small,1,1695,2450,53.2
IO360L,EPNL,D,100,Piston,Small,1,1695,2450,55.2
IO360L,SEL,D,60,Piston,Small,1,1695,2450,55.3
IO360L,SEL,D,100,Piston,Small,1,1695,2450,56.5
O470R,LAmax,A,169,Piston,Small,1,1544,2800,34.1
O470R,LAmax,A,244,Piston,Small,1,1544,2800,34.8
O470R,PNLTM,A,169,Piston,Small,1,1544,2800,44.1
O470R,PNLTM,A,244,Piston,Small,1,1544,2800,46.3
O470R,LAmax,D,533,Piston,Small,1,1544,2800,46.6
O470R,EPNL,A,169,Piston,Small,1,1544,2800,47.1
O470R,EPNL,A,244,Piston,Small,1,1544,2800,48.9
O470R,SEL,A,169,Piston,Small,1,1544,2800,49.2
O470R,SEL,A,244,Piston,Small,1,1544,2800,49.7
O470R,LAmax,D,640,Piston,Small,1,1544,2800,51.3
O470R,PNLTM,D,533,Piston,Small,1,1544,2800,59
O470R,SEL,D,533,Piston,Small,1,1544,2800,59.6
O470R,EPNL,D,533,Piston,Small,1,1544,2800,62.4
O470R,SEL,D,640,Piston,Small,1,1544,2800,63.4
O470R,PNLTM,D,640,Piston,Small,1,1544,2800,64.1
O470R,EPNL,D,640,Piston,Small,1,1544,2800,67
IO320B,LAmax,A,107,Piston,Small,2,1654,3600,35.3
IO320B,LAmax,A,55,Piston,Small,2,1654,3600,36.8
TIO540,LAmax,A,1900,Piston,Small,1,1880,3600,37.3
IO320B,LAmax,D,201,Piston,Small,2,1654,3600,41.6
TIO540,LAmax,A,2300,Piston,Small,1,1880,3600,42.5
IO320B,PNLTM,A,107,Piston,Small,2,1654,3600,43
IO320B,LAmax,D,214,Piston,Small,2,1654,3600,43.4
IO540,LAmax,A,2400,Piston,Small,1,1880,3600,43.4
TIO540,LAmax,D,2400,Piston,Small,1,1880,3600,45
IO320B,PNLTM,A,55,Piston,Small,2,1654,3600,45.9
TIO540,PNLTM,A,1900,Piston,Small,1,1880,3600,46.2
IO540,LAmax,A,2500,Piston,Small,1,1880,3600,47.4
IO320B,LAmax,D,339,Piston,Small,2,1654,3600,48.3
TIO540,LAmax,D,2500,Piston,Small,1,1880,3600,49.7
IO320B,EPNL,A,107,Piston,Small,2,1654,3600,50.4
IO540,LAmax,D,2500,Piston,Small,1,1880,3600,51.3
IO320B,EPNL,A,55,Piston,Small,2,1654,3600,51.9
IO320B,PNLTM,D,201,Piston,Small,2,1654,3600,51.9
IO540,LAmax,A,2700,Piston,Small,1,1880,3600,52.2
TIO540,EPNL,A,1900,Piston,Small,1,1880,3600,52.4
TIO540,PNLTM,A,2300,Piston,Small,1,1880,3600,52.8
IO320B,SEL,A,107,Piston,Small,2,1654,3600,53.5
IO320B,PNLTM,D,214,Piston,Small,2,1654,3600,54.2
IO320B,SEL,A,55,Piston,Small,2,1654,3600,54.3
TIO540,SEL,A,1900,Piston,Small,1,1880,3600,55.1
IO540,PNLTM,A,2400,Piston,Small,1,1880,3600,55.9
TIO540,PNLTM,D,2400,Piston,Small,1,1880,3600,56.7
IO540,LAmax,D,2700,Piston,Small,1,1880,3600,56.9
IO320B,EPNL,D,201,Piston,Small,2,1654,3600,57.6
IO320B,SEL,D,201,Piston,Small,2,1654,3600,58.8
TIO540,EPNL,A,2300,Piston,Small,1,1880,3600,59.4
IO320B,EPNL,D,214,Piston,Small,2,1654,3600,59.9
IO320B,PNLTM,D,339,Piston,Small,2,1654,3600,60
IO540,SEL,A,2400,Piston,Small,1,1880,3600,60.1
TIO540,SEL,A,2300,Piston,Small,1,1880,3600,60.3
IO320B,SEL,D,214,Piston,Small,2,1654,3600,60.7
IO540,PNLTM,A,2500,Piston,Small,1,1880,3600,60.8
IO540,EPNL,A,2400,Piston,Small,1,1880,3600,61.2
TIO540,SEL,D,2400,Piston,Small,1,1880,3600,62.1
TIO540,EPNL,D,2400,Piston,Small,1,1880,3600,62.5
TIO540,PNLTM,D,2500,Piston,Small,1,1880,3600,62.8
IO540,SEL,A,2500,Piston,Small,1,1880,3600,63.7
IO540,PNLTM,D,2500,Piston,Small,1,1880,3600,64.8
IO540,PNLTM,A,2700,Piston,Small,1,1880,3600,64.8
TIO540,SEL,D,2500,Piston,Small,1,1880,3600,65.2
IO540,EPNL,A,2500,Piston,Small,1,1880,3600,66
IO320B,SEL,D,339,Piston,Small,2,1654,3600,66.1
IO320B,EPNL,D,339,Piston,Small,2,1654,3600,67
IO540,SEL,D,2500,Piston,Small,1,1880,3600,67.1
TIO540,EPNL,D,2500,Piston,Small,1,1880,3600,67.1
IO540,SEL,A,2700,Piston,Small,1,1880,3600,68.2
IO540,PNLTM,D,2700,Piston,Small,1,1880,3600,69.4
IO540,EPNL,D,2500,Piston,Small,1,1880,3600,70
IO540,EPNL,A,2700,Piston,Small,1,1880,3600,70.3
IO540,SEL,D,2700,Piston,Small,1,1880,3600,71.5
IO540,EPNL,D,2700,Piston,Small,1,1880,3600,74.1
PW610F,LAmax,A,112,Jet,Small,2,2389,6000,32
PW610F,LAmax,A,160,Jet,Small,2,2389,6000,32
PW610F,LAmax,A,79,Jet,Small,2,2389,6000,32.1
PW610F,LAmax,A,208,Jet,Small,2,2389,6000,32.1
PW610F,LAmax,A,262,Jet,Small,2,2389,6000,32.4
PW610F,LAmax,A,328,Jet,Small,2,2389,6000,32.9
PW610F,LAmax,A,404,Jet,Small,2,2389,6000,33.8
PW610F,LAmax,D,489,Jet,Small,2,2389,6000,34.6
PW610F,LAmax,D,587,Jet,Small,2,2389,6000,36.4
PW610F,PNLTM,A,79,Jet,Small,2,2389,6000,36.5
PW610F,PNLTM,A,112,Jet,Small,2,2389,6000,36.5
PW610F,PNLTM,A,160,Jet,Small,2,2389,6000,36.5
PW610F,PNLTM,A,208,Jet,Small,2,2389,6000,36.7
PW610F,PNLTM,A,262,Jet,Small,2,2389,6000,37
PW610F,PNLTM,A,328,Jet,Small,2,2389,6000,37.6
PW610F,LAmax,D,689,Jet,Small,2,2389,6000,38.3
PW610F,PNLTM,A,404,Jet,Small,2,2389,6000,38.6
PW610F,PNLTM,D,489,Jet,Small,2,2389,6000,39.6
PW610F,LAmax,D,807,Jet,Small,2,2389,6000,40.5
PW610F,PNLTM,D,587,Jet,Small,2,2389,6000,42
PW610F,LAmax,D,910,Jet,Small,2,2389,6000,42.5
PW610F,LAmax,D,935,Jet,Small,2,2389,6000,43
PW610F,EPNL,A,112,Jet,Small,2,2389,6000,43.1
PW610F,EPNL,A,160,Jet,Small,2,2389,6000,43.1
PW610F,EPNL,A,79,Jet,Small,2,2389,6000,43.2
PW610F,EPNL,A,208,Jet,Small,2,2389,6000,43.2
PW610F,EPNL,A,262,Jet,Small,2,2389,6000,43.7
PW610F,EPNL,A,328,Jet,Small,2,2389,6000,44.5
PW610F,PNLTM,D,689,Jet,Small,2,2389,6000,44.5
PW610F,EPNL,D,489,Jet,Small,2,2389,6000,45.7
PW610F,EPNL,A,404,Jet,Small,2,2389,6000,45.9
PW610F,PNLTM,D,807,Jet,Small,2,2389,6000,47.4
PW610F,EPNL,D,587,Jet,Small,2,2389,6000,48.5
PW610F,SEL,A,112,Jet,Small,2,2389,6000,49.1
PW610F,SEL,A,79,Jet,Small,2,2389,6000,49.2
PW610F,SEL,A,160,Jet,Small,2,2389,6000,49.2
PW610F,SEL,A,208,Jet,Small,2,2389,6000,49.3
PW610F,SEL,A,262,Jet,Small,2,2389,6000,49.7
PW610F,PNLTM,D,910,Jet,Small,2,2389,6000,49.9
PW610F,SEL,A,328,Jet,Small,2,2389,6000,50.4
PW610F,PNLTM,D,935,Jet,Small,2,2389,6000,50.4
PW610F,EPNL,D,689,Jet,Small,2,2389,6000,51.3
PW610F,SEL,A,404,Jet,Small,2,2389,6000,51.6
PW610F,SEL,D,489,Jet,Small,2,2389,6000,51.7
PW610F,SEL,D,587,Jet,Small,2,2389,6000,53.8
PW610F,EPNL,D,807,Jet,Small,2,2389,6000,54.5
PW610F,SEL,D,689,Jet,Small,2,2389,6000,55.9
PW610F,EPNL,D,910,Jet,Small,2,2389,6000,57.3
PW610F,EPNL,D,935,Jet,Small,2,2389,6000,57.9
PW610F,SEL,D,807,Jet,Small,2,2389,6000,58.4
PW610F,SEL,D,910,Jet,Small,2,2389,6000,60.5
PW610F,SEL,D,935,Jet,Small,2,2389,6000,60.9
TSIO52,LAmax,A,30,Piston,Small,2,2733,6100,42.8
TSIO52,LAmax,D,30,Piston,Small,2,2733,6100,42.8
TSIO52,PNLTM,A,30,Piston,Small,2,2733,6100,49.1
TSIO52,PNLTM,D,30,Piston,Small,2,2733,6100,49.1
TSIO52,LAmax,A,100,Piston,Small,2,2733,6100,55.1
TSIO52,LAmax,D,100,Piston,Small,2,2733,6100,55.1
TSIO52,SEL,A,30,Piston,Small,2,2733,6100,57.1
TSIO52,SEL,D,30,Piston,Small,2,2733,6100,57.1
TSIO52,EPNL,A,30,Piston,Small,2,2733,6100,57.3
TSIO52,EPNL,D,30,Piston,Small,2,2733,6100,57.3
TSIO52,PNLTM,A,100,Piston,Small,2,2733,6100,62
TSIO52,PNLTM,D,100,Piston,Small,2,2733,6100,62
TSIO52,SEL,A,100,Piston,Small,2,2733,6100,70.1
TSIO52,SEL,D,100,Piston,Small,2,2733,6100,70.1
TSIO52,EPNL,A,100,Piston,Small,2,2733,6100,70.2
TSIO52,EPNL,D,100,Piston,Small,2,2733,6100,70.2
TIO542,LAmax,A,2380,Piston,Small,2,1850,7000,45.4
TIO542,LAmax,D,2190,Piston,Small,2,1850,7000,45.6
TIO542,LAmax,A,2400,Piston,Small,2,1850,7000,46.5
TIO542,LAmax,D,2280,Piston,Small,2,1850,7000,47.4
TIO542,LAmax,D,2500,Piston,Small,2,1850,7000,50.3
TIO542,PNLTM,A,2380,Piston,Small,2,1850,7000,56.7
TIO542,PNLTM,A,2400,Piston,Small,2,1850,7000,58.1
TIO542,PNLTM,D,2190,Piston,Small,2,1850,7000,58.7
TIO542,PNLTM,D,2280,Piston,Small,2,1850,7000,60.7
TIO542,SEL,A,2380,Piston,Small,2,1850,7000,61.5
TIO542,SEL,D,2190,Piston,Small,2,1850,7000,62.1
TIO542,EPNL,A,2380,Piston,Small,2,1850,7000,62.2
TIO542,SEL,A,2400,Piston,Small,2,1850,7000,62.5
TIO542,PNLTM,D,2500,Piston,Small,2,1850,7000,63.1
TIO542,SEL,D,2280,Piston,Small,2,1850,7000,63.5
TIO542,EPNL,A,2400,Piston,Small,2,1850,7000,63.6
TIO542,EPNL,D,2190,Piston,Small,2,1850,7000,63.9
TIO542,EPNL,D,2280,Piston,Small,2,1850,7000,65.3
TIO542,SEL,D,2500,Piston,Small,2,1850,7000,67.3
TIO542,EPNL,D,2500,Piston,Small,2,1850,7000,69.3
